25.5, 100.5, 1.5
25.5, 109.5, 1.5
25.5, 118.5, 1.5
25.5, 127.5, 1.5
25.5, 136.5, 1.5
25.5, 139.5, 1.5
25.5, 142.5, 1.5
25.5, 145.5, 1.5
28.5, 1.5, 1.5
28.5, 19.5, 1.5
28.5, 28.5, 1.5
28.5, 55.5, 1.5
28.5, 64.5, 1.5
28.5, 82.5, 1.5
28.5, 91.5, 1.5
28.5, 100.5, 1.5
28.5, 109.5, 1.5
28.5, 118.5, 1.5
28.5, 127.5, 1.5
28.5, 145.5, 1.5
31.5, 1.5, 1.5
31.5, 4.5, 1.5
31.5, 7.5, 1.5
31.5, 10.5, 1.5
31.5, 13.5, 1.5
31.5, 16.5, 1.5
31.5, 19.5, 1.5
31.5, 28.5, 1.5
31.5, 31.5, 1.5
31.5, 34.5, 1.5
31.5, 37.5, 1.5
31.5, 40.5, 1.5
31.5, 43.5, 1.5
31.5, 46.5, 1.5
31.5, 49.5, 1.5
31.5, 52.5, 1.5
31.5, 55.5, 1.5
31.5, 64.5, 1.5
31.5, 67.5, 1.5
31.5, 70.5, 1.5
31.5, 73.5, 1.5
31.5, 82.5, 1.5
31.5, 91.5, 1.5
31.5, 100.5, 1.5
31.5, 109.5, 1.5
31.5, 118.5, 1.5
31.5, 127.5, 1.5
31.5, 136.5, 1.5
31.5, 145.5, 1.5
34.5, 1.5, 1.5
34.5, 28.5, 1.5
34.5, 46.5, 1.5
34.5, 64.5, 1.5
34.5, 82.5, 1.5
34.5, 100.5, 1.5
34.5, 109.5, 1.5
34.5, 127.5, 1.5
34.5, 136.5, 1.5
34.5, 145.5, 1.5
37.5, 1.5, 1.5
37.5, 10.5, 1.5
37.5, 13.5, 1.5
37.5, 16.5, 1.5
37.5, 19.5, 1.5
37.5, 28.5, 1.5
37.5, 37.5, 1.5
37.5, 46.5, 1.5
37.5, 55.5, 1.5
37.5, 58.5, 1.5
37.5, 61.5, 1.5
37.5, 64.5, 1.5
37.5, 73.5, 1.5
37.5, 76.5, 1.5
37.5, 79.5, 1.5
37.5, 82.5, 1.5
37.5, 85.5, 1.5
37.5, 88.5, 1.5
37.5, 91.5, 1.5
37.5, 94.5, 1.5
37.5, 97.5, 1.5
37.5, 100.5, 1.5
37.5, 109.5, 1.5
37.5, 118.5, 1.5
37.5, 121.5, 1.5
37.5, 124.5, 1.5
37.5, 127.5, 1.5
37.5, 130.5, 1.5
37.5, 133.5, 1.5
37.5, 136.5, 1.5
37.5, 145.5, 1.5
40.5, 1.5, 1.5
40.5, 10.5, 1.5
40.5, 28.5, 1.5
40.5, 37.5, 1.5
40.5, 46.5, 1.5
40.5, 64.5, 1.5
40.5, 82.5, 1.5
40.5, 100.5, 1.5
40.5, 109.5, 1.5
40.5, 118.5, 1.5
40.5, 145.5, 1.5
43.5, 1.5, 1.5
43.5, 10.5, 1.5
43.5, 13.5, 1.5
43.5, 16.5, 1.5
43.5, 19.5, 1.5
43.5, 22.5, 1.5
43.5, 25.5, 1.5
43.5, 28.5, 1.5
43.5, 37.5, 1.5
43.5, 46.5, 1.5
43.5, 49.5, 1.5
43.5, 52.5, 1.5
43.5, 55.5, 1.5
43.5, 64.5, 1.5
43.5, 67.5, 1.5
43.5, 70.5, 1.5
43.5, 73.5, 1.5
43.5, 82.5, 1.5
43.5, 91.5, 1.5
43.5, 100.5, 1.5
43.5, 109.5, 1.5
43.5, 118.5, 1.5
43.5, 127.5, 1.5
43.5, 130.5, 1.5
43.5, 133.5, 1.5
43.5, 136.5, 1.5
43.5, 145.5, 1.5
46.5, 1.5, 1.5
46.5, 37.5, 1.5
46.5, 73.5, 1.5
46.5, 91.5, 1.5
46.5, 109.5, 1.5
46.5, 127.5, 1.5
46.5, 145.5, 1.5
49.5, 1.5, 1.5
49.5, 4.5, 1.5
49.5, 7.5, 1.5
49.5, 10.5, 1.5
49.5, 13.5, 1.5
49.5, 16.5, 1.5
49.5, 19.5, 1.5
49.5, 22.5, 1.5
49.5, 25.5, 1.5
49.5, 28.5, 1.5
49.5, 31.5, 1.5
49.5, 34.5, 1.5
49.5, 37.5, 1.5
49.5, 40.5, 1.5
49.5, 43.5, 1.5
49.5, 46.5, 1.5
49.5, 49.5, 1.5
49.5, 52.5, 1.5
49.5, 55.5, 1.5
49.5, 58.5, 1.5
49.5, 61.5, 1.5
49.5, 64.5, 1.5
49.5, 67.5, 1.5
49.5, 70.5, 1.5
49.5, 73.5, 1.5
49.5, 76.5, 1.5
49.5, 79.5, 1.5
49.5, 82.5, 1.5
49.5, 85.5, 1.5
49.5, 88.5, 1.5
49.5, 91.5, 1.5
49.5, 94.5, 1.5
49.5, 97.5, 1.5
49.5, 100.5, 1.5
49.5, 103.5, 1.5
49.5, 106.5, 1.5
49.5, 109.5, 1.5
49.5, 112.5, 1.5
49.5, 115.5, 1.5
49.5, 118.5, 1.5
49.5, 121.5, 1.5
49.5, 124.5, 1.5
49.5, 127.5, 1.5
49.5, 130.5, 1.5
49.5, 133.5, 1.5
49.5, 136.5, 1.5
49.5, 139.5, 1.5
49.5, 142.5, 1.5
49.5, 145.5, 1.5
